name,base_price,price,product_url
"LG 그램16 RTX3050, 옵시디안 블랙, 코어i5, 512GB, 16GB, WIN11 Home, 16Z90R-EA5CK"," 2,161,320  ","1,977,000",https://www.coupang.com/vp/products/7181283325?itemId=18112193689&vendorItemId=85263782352
"LG 울트라PC 15U560 6세대 i5 지포스940M 15.6인치 윈도우10, 8GB, WIN10 Pro, 628GB, 코어i5, 화이트"," 769,000  ","399,000",https://www.coupang.com/vp/products/6359373947?itemId=13418949659&vendorItemId=81165660205
"레노버 2022 요가 슬림 7 프로 16ARH7, 512GB, 라이젠5, 스톰 그레이, YOGA Slim 7 Pro 16ARH7 82UW000GKR, 16GB, WIN11 Home"," 1,488,000  ","1,338,000",https://www.coupang.com/vp/products/6820481293?itemId=19726005200&vendorItemId=86822731497
"A급중고 HP EliteBook 840-g3 I5-6200U/8GB/SSD256GB/HD520/14인치/WIN10 명품노트북 인강용, 실버, 코어i5, 256GB, 8GB, WIN10 Pro"," 599,000  ","199,000",https://www.coupang.com/vp/products/6429555045?itemId=13869941471&vendorItemId=81131278678
"LG 그램 990 OLED FHD, 스노우 화이트, 코어i5, 256GB, 16GB, WIN11 Home, 15Z90RT-GAOWK",,"2,330,000",https://www.coupang.com/vp/products/7389889714?itemId=19104046765&vendorItemId=86462507125
"엠에스아이 2023 사이보그 15, 블랙, 코어i5, 512GB, 8GB, Free DOS, Cyborg 15 A12VE-092XKR"," 1,246,700  ","1,059,660",https://www.coupang.com/vp/products/7530144248?itemId=18408263613&vendorItemId=85550801215
"레노버 2022 V14 G3 IAP, Iron Gray, 256GB, 코어i5, Lenovo V14 G3 IAP-82TS007GKR, Free DOS, 4GB",,"445,130",https://www.coupang.com/vp/products/7525339681?itemId=17016519292&vendorItemId=84192214010
"LG 12세대 17인치 초경량 노트북 i7-1260 1TB 32G 17Z90Q 정품윈도우11포함, WIN11 Home, 32GB, 코어i7, 블랙"," 2,000,000  ","1,690,000",https://www.coupang.com/vp/products/7358544686?itemId=18952962534&vendorItemId=86079153285&sourceType=srp_product_ads&clickEventId=bf7637e0-56b1-11ee-96f2-16d83c9cc55c&korePlacement=15&koreSubPlacement=21&clickEventId=bf7637e0-56b1-11ee-96f2-16d83c9cc55c&korePlacement=15&koreSubPlacement=21
디지털케미 노트북 서류 가방 DCB-015," 20,500  ","15,500",https://www.coupang.com/vp/products/4522324401?itemId=5453746219&vendorItemId=87040431636&sourceType=srp_product_ads&clickEventId=bf7637e0-56b1-11ee-ad46-e98aecd44737&korePlacement=15&koreSubPlacement=22&clickEventId=bf7637e0-56b1-11ee-ad46-e98aecd44737&korePlacement=15&koreSubPlacement=22
"레노버 2023 아이디어패드 슬림 3 16ABR8 R5, Arctic Grey (82XR), 라이젠5, 256GB, 16GB, Free DOS, idearPad Slim3-16ABR8 R5",,"738,940",https://www.coupang.com/vp/products/7211760125?itemId=18252880585&vendorItemId=85399584183
"LG노트북 중고노트북 15N365 i5-6200U Intel 6세대 Core i5-6200U 가성비 좋은노트북, WIN11 Pro, 16GB, 512GB, 코어i5 6200U, HDD 500GB",,"317,000",https://www.coupang.com/vp/products/6767727040?itemId=15880402926&vendorItemId=83089009141&sourceType=srp_product_ads&clickEventId=bf7637e0-56b1-11ee-b548-24eadc01e8c7&korePlacement=15&koreSubPlacement=24&clickEventId=bf7637e0-56b1-11ee-b548-24eadc01e8c7&korePlacement=15&koreSubPlacement=24
"MSI 2023 GF63 씬 15.6, 블랙, 코어i5, 512GB, 8GB, Free DOS, Thin GF63 12VE i5"," 1,099,000  ","1,049,000",https://www.coupang.com/vp/products/7183655444?itemId=18281552510&vendorItemId=85427484838
"LG 울트라PC HD, 화이트, 셀러론, 128GB, 4GB, WIN11 Home, 14U30P-LE12K"," 459,000  ","425,940",https://www.coupang.com/vp/products/7381520274?itemId=19064151414&vendorItemId=86187002175
"LG 울트라PC 엣지 WUXGA, 차콜 그레이, 라이젠5, 256GB, 16GB, WIN11 Home, 16U70R-GA56K"," 1,135,000  ","1,104,000",https://www.coupang.com/vp/products/7355142712?itemId=18852975566&vendorItemId=85982221277
"레노버 2023 아이디어패드 슬림 5i 14IRL i5, Cloud Grey, 코어i5, 512GB, 16GB, Free DOS, 82XD002XKR"," 1,199,000  ","859,560",https://www.coupang.com/vp/products/7355580399?itemId=18938714252&vendorItemId=86065251632
"삼성전자 2022 갤럭시북2 15.6, 500GB, 실버, NT550XED-K78AS, 코어i7, 16GB, WIN11 Home"," 1,269,000  ","1,149,000",https://www.coupang.com/vp/products/6629543858?itemId=15116215479&vendorItemId=82338011155
"MSI 스워드 GF76 B13VFK 212 게이밍 노트북 17.3, 블랙, 코어i7, 512GB, 16GB, Free DOS"," 1,799,000  ","1,369,000",https://www.coupang.com/vp/products/7170913261?itemId=18065638954&vendorItemId=85219260795
"삼성전자 갤럭시북2 NT550XEZ-A58A +Windows 포함 12세대 i5, 삼성 NT550XEZ-A58A, WIN11 Pro, 16GB, 512GB, 12세대 인텔 코어 i5, 실버&그라파이트",,"853,000",https://www.coupang.com/vp/products/7313421805?itemId=18740836696&vendorItemId=85873106470
"레노버 2022 ThinkBook 15 GA IAP, 미네랄 그레이, 1280GB, Free DOS, 코어i3, ThinkBook 15 G4 IAP - 21DJ00C3KR, 8GB",,"654,000",https://www.coupang.com/vp/products/7525140207?itemId=19657585018&vendorItemId=86755220119
"MSI 2023 Cyborg 15 A12VE, 블랙, 코어i7, 512GB, 8GB, WIN11 Home, MS-15K"," 1,446,980  ","1,256,000",https://www.coupang.com/vp/products/7210596115?itemId=19726040636&vendorItemId=86822255229
"레노버 아이디어패드 슬림 1 15IJL7 82LX0085KR, SAND, Slim1-15IJL7, 셀러론, 128GB, 4GB, WIN11 Home"," 399,000  ","339,000",https://www.coupang.com/vp/products/7435148951?itemId=19320398788&vendorItemId=86434537380
"레노버 2023 아이디어패드 프로 5 16ARP8, ARCTIC GREY, 라이젠7, 1536GB, 16GB, Free DOS, IdeaPad Pro5 16ARP8-83AS003HKR"," 1,274,000  ","1,154,710",https://www.coupang.com/vp/products/7275784553?itemId=19658710298&vendorItemId=86756794431
"레노버 2023 아이디어패드 프로 5 16ARP8, ARCTIC GREY, 라이젠7, 512GB, 16GB, WIN11 Home, IdeaPad Pro5 16ARP8-83AS003HKR"," 1,338,000  ","1,218,710",https://www.coupang.com/vp/products/7275784553?itemId=19658702117&vendorItemId=86756939717
